window_start,k_mgl,mg_mgl,no3,ca,nh4,site
1989-06-27,1.0044444444444445,2.3566666666666665,176,4.605555555555556,NA,Q2
1989-08-29,1.1718181818181819,2.789,137.42857142857142,5.341,NA,Q2
1989-10-31,1.339,3.138,424.3,6.071,NA,Q2
1990-01-02,1.3822222222222222,3.12,194.75,6.677777777777778,NA,Q2
1990-03-06,1.393076923076923,2.46,460.9090909090909,5.222307692307692,NA,Q2
1990-05-08,1.262,3.079,301.5,6.397,NA,Q2
1990-07-10,0.9955555555555555,3.2844444444444445,177.44444444444446,7.045555555555556,NA,Q2
1990-09-11,0.8822222222222222,2.76,101,6.1322222222222225,NA,Q2
1990-11-13,1.0463636363636364,2.9263636363636363,211.45454545454547,6.368181818181818,NA,Q2
1991-01-15,0.8288888888888889,3.0255555555555556,124.71428571428571,6.865555555555556,NA,Q2
1991-03-19,0.8922222222222222,2.92,77.44444444444443,5.662222222222222,NA,Q2
1991-05-21,1.078,3.005,85.125,3.7439999999999998,NA,Q2
1991-07-23,1.271,3.157,60.2,6.536,NA,Q2
1991-09-24,1.2816666666666667,2.6133333333333333,170.83333333333331,4.645833333333333,NA,Q2
1991-11-26,1.198888888888889,3.051111111111111,296.1111111111111,5.783333333333333,NA,Q2
1992-01-28,1.284,2.969,191.11111111111111,6.08,NA,Q2
1992-03-31,1.1555555555555557,2.8533333333333335,135.125,5.455555555555556,NA,Q2
1992-06-02,1.26,2.9877777777777776,58,6.188888888888889,NA,Q2
1992-08-04,1.2733333333333332,3.04,79.66666666666667,6.444444444444445,NA,Q2
1992-10-06,1.1822222222222223,2.738888888888889,47.75,5.905555555555556,NA,Q2
1992-12-08,1.2344444444444445,3.0322222222222224,172,6.345555555555555,NA,Q2
1993-02-09,1.38,3.3477777777777775,145.5,6.855555555555555,NA,Q2
1993-04-13,1.3155555555555556,2.8722222222222222,89.75,5.665555555555556,NA,Q2
1993-06-15,1.49,3.163333333333333,95.4,7.022222222222222,NA,Q2
1993-08-17,1.2966666666666666,2.8777777777777778,61.625,6.525555555555555,NA,Q2
1993-10-19,1.3855555555555557,2.966666666666667,41.22222222222222,6.611111111111112,NA,Q2
1993-12-21,1.3711111111111112,2.694444444444444,12.5,5.996666666666667,NA,Q2
1994-02-22,1.3444444444444446,2.9522222222222223,37.5,6.587777777777778,NA,Q2
1994-04-26,1.3925,3.24125,22.25,6.95875,NA,Q2
1994-06-28,1.1633333333333333,2.4833333333333334,145.5,5.0649999999999995,NA,Q2
1994-08-30,1.32,1.975,NA,4.325,NA,Q2
1994-11-01,1.25375,2.48875,NA,5.3075,NA,Q2
1986-05-20,0.7033333333333333,3.4333333333333336,119.66666666666667,3.9533333333333336,NA,Q3
1986-07-22,NA,NA,NA,NA,NA,Q3
1986-09-23,0.566,2.606,161.5,3.606,24.6,Q3
1986-11-25,0.56,2.738888888888889,197.88888888888889,3.462222222222222,17,Q3
1987-01-27,0.6222222222222222,3.0477777777777777,193.77777777777777,3.7266666666666666,14.571428571428571,Q3
1987-03-31,0.6922222222222222,2.4544444444444444,182.11111111111111,3.428888888888889,46,Q3
1987-06-02,0.6666666666666666,2.4044444444444446,175.22222222222223,3.621111111111111,80.88888888888889,Q3
1987-08-04,0.7055555555555555,2.948888888888889,240.375,3.9033333333333333,19.75,Q3
1987-10-06,0.577,2.106,209.7,3.079,11.714285714285714,Q3
